2018-02-27 22:17:22 29333 [restartedMain] INFO  o.s.w.s.v.f.FreeMarkerConfigurer - ClassTemplateLoader for Spring macros added to FreeMarker configuration 
2018-02-27 22:17:22 29474 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729 
2018-02-27 22:17:22 29522 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup 
2018-02-27 22:17:22 29523 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'dataSource' has been autodetected for JMX exposure 
2018-02-27 22:17:22 29528 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=dataSource,type=DruidDataSource] 
2018-02-27 22:17:22 29577 [restartedMain] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647 
2018-02-27 22:17:22 29577 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed 
2018-02-27 22:17:22 29657 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s) 
2018-02-27 22:17:22 29662 [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references 
2018-02-27 22:17:23 29956 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] 
2018-02-27 22:17:23 29962 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] 
2018-02-27 22:17:23 30004 [restartedMain] INFO  o.a.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read 
2018-02-27 22:17:23 30043 [restartedMain] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8080 (http) 
2018-02-27 22:17:23 30047 [restartedMain] INFO  com.pf.org.cms.CmsApplication - Started CmsApplication in 29.365 seconds (JVM running for 41.809) 
2018-02-27 22:18:05 72014 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet' 
2018-02-27 22:18:05 72014 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started 
2018-02-27 22:18:05 72054 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 40 ms 
2018-02-27 22:18:46 113041 [Thread-71] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@47036adf: startup date [Tue Feb 27 22:17:10 CST 2018]; root of context hierarchy 
2018-02-27 22:18:46 113042 [Thread-71] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483647 
2018-02-27 22:18:46 113060 [Thread-71] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown 
2018-02-27 22:18:46 113060 [Thread-71] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans 
2018-02-27 22:19:12 11315 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final 
2018-02-27 22:19:17 16024 [main] INFO  c.p.o.c.s.impl.UserServiceImplTest - Starting UserServiceImplTest on panfengdeiMac.local with PID 1173 (started by panfeng1992 in /Users/panfeng1992/Work/CMS) 
2018-02-27 22:19:17 16024 [main] INFO  c.p.o.c.s.impl.UserServiceImplTest - The following profiles are active: dev 
